year,voteShare,Total Inflation Rate Over Previous 2 Years (%),Total GDP Growth Over Previous 2 Years (%),Total Unemployment Rate Over Previous 2 Years (%)
1955,8.721629436,,,
1959,54.07762949,,,
1963,46.93004101,0.821258742,16.30563744,
1968,86.7156824,5.415645196,23.96209676,
1972,70.43270682,2.232518955,28.08612194,
1976,74.08859463,25.47233468,10.35015027,
1980,77.65990208,9.147636749,18.07469756,
1984,64.8314617,5.159552425,16.26417867,
1988,63.17095427,-0.869648318,12.28573865,
1991,60.96894892,5.887380116,20.97741655,
1997,64.98140901,3.127512462,15.18289424,4.5
2001,75.29023601,1.378561283,15.27353261,8.3
2006,66.60268697,2.094901834,18.03851625,9.1
2011,60.13754468,3.437230965,14.6662816,7.6
2015,69.86363791,3.407931368,8.942771076,5.7
2020,61.23344733,1.006360034,4.909480178,6.1
