year,voteShare,Total Inflation Rate Over Previous 2 Years (%)
1955,8.721629436298969,
1959,54.07762948639,
1963,46.93004101073845,0.8212587416800199
1968,86.71568239913564,5.415645196389951
1972,70.43270682291184,2.2325189553117797
1976,74.0885946279809,25.472334680420094
1980,77.65990208216802,9.14763674941863
1984,64.83146169957426,5.159552424741665
1988,63.17095427339127,-0.8696483180793746
1991,60.96894891859746,5.8873801163738415
1997,64.98140900878276,3.127512462111559
2001,75.29023601117602,1.3785612830974125
2006,66.60268696924078,2.094901833692342
2011,60.13754467572519,3.437230965258564
2015,69.86363791204926,3.407931368020223
2020,61.23344732910356,1.0063600335747491
